gene_symbol,log2FoldChange,lfcSE,padj,context
SARM1,-0.0752468208610011,0.3610814481368309,0.8879725297172917,GSE278320 VacV
POLDIP2,-1.4248183233189544,0.1625186345907065,6.227567359142725e-17,GSE278320 VacV
PLXND1,-1.0410866936157268,0.3211220551337038,0.0033520620518252,GSE278320 VacV
AK2,0.0031073303697606,0.2370110860436482,0.9922694103637508,GSE278320 VacV
CD38,1.1137204881447833,1.4274845940642884,0.5482722827209415,GSE278320 VacV
FKBP4,-0.4979582797031199,0.2518425604330861,0.0866197839221125,GSE278320 VacV
KDM1A,-0.9010015077007012,0.1076470386453663,1.6562192381040878e-15,GSE278320 VacV
RBM6,1.329754739382589,0.1828945680851252,6.471975153052418e-12,GSE278320 VacV
CAMKK1,-1.9580459725154944,0.5039545466672201,0.0003786937266125,GSE278320 VacV
RECQL,0.0950018215000915,0.2843884764626885,0.8146626699678056,GSE278320 VacV
VPS50,0.0773557066041409,0.2862685402736418,0.8512751511767288,GSE278320 VacV
HSPB6,-1.1594152514967873,0.7682538768342135,0.2058055265252122,GSE278320 VacV
ARHGAP33,1.1238594082700917,0.2230765758306006,2.968745125309543e-06,GSE278320 VacV
NDUFAB1,-1.8020305901766291,0.3125247559920014,7.133070285480398e-08,GSE278320 VacV
ZMYND10,2.134603599646445,0.710171331911434,0.0068328854656466,GSE278320 VacV
ARX,-1.8707215374390824,0.4902056242973933,0.0004865478023891,GSE278320 VacV
SLC25A13,-1.1602114422534753,0.2950692133298901,0.0003195369927142,GSE278320 VacV
ST7,-0.1674875813804137,0.2990094211542525,0.6781831939269033,GSE278320 VacV
CDC27,-0.2244638152965427,0.2076770071139564,0.3840527819756716,GSE278320 VacV
HCCS,0.6602808994184413,0.4665545604310361,0.2389204987724413,GSE278320 VacV
DVL2,-0.6989253331619083,0.3005643262989186,0.0406975412884832,GSE278320 VacV
UPF1,0.0708193015344001,0.3695385421821693,0.8969873497367533,GSE278320 VacV
SKAP2,-1.1634669018435984,0.2743763329039718,9.800943416840994e-05,GSE278320 VacV
SLC25A5,-2.308356074258252,0.379550640815539,1.2213498431057882e-08,GSE278320 VacV
MCUB,-1.0991940974636378,0.2516260523124486,5.816353354322972e-05,GSE278320 VacV
HOXA11,1.1557530150803448,0.5317565581439873,0.0573759325186987,GSE278320 VacV
POLR2J,-0.9481123053603944,0.4441764317442833,0.0623734370357786,GSE278320 VacV
DHX33,-1.260003285741127,0.1931847063048432,8.889607176545175e-10,GSE278320 VacV
THSD7A,0.4843121027134997,0.8870726804622625,0.6865845653171602,GSE278320 VacV
LIG3,-1.2444362531435595,0.4020013290890344,0.0052305009061966,GSE278320 VacV
RPAP3,-0.2453661078604814,0.2204287906750218,0.3679818598775226,GSE278320 VacV
